Date,Open,High,Low,Close,Volume,Change
01-10-2019,38813.48047,38923.78125,37929.89063,38305.41016,75400,-0.935978736
03-10-2019,38137.87109,38310.92969,37957.55859,38106.87109,59200,-0.518305537
04-10-2019,38401.48828,38403.53906,37633.35938,37673.30859,52900,-1.137754131
07-10-2019,37853.80078,37919.46875,37480.53125,37531.98047,40400,-0.375141261
09-10-2019,37628.05078,38209.83984,37415.82813,38177.94922,36400,1.721115544
10-10-2019,38130.23047,38130.23047,37802.92969,37880.39844,27300,-0.779378639
11-10-2019,37994.48047,38345.41016,37737.85156,38127.07813,39400,0.651206685
14-10-2019,38208.23828,38513.69141,38066.12891,38214.46875,28500,0.229208818
15-10-2019,38316.48828,38635.19141,38238.26953,38506.08984,26200,0.763116965
16-10-2019,38637.05078,38666.37891,38416.67188,38598.98828,27500,0.24125648
17-10-2019,38647.44141,39104.69141,38557.42969,39052.05859,47100,1.173788053
18-10-2019,39087.82813,39361.05859,38963.60156,39298.37891,42400,0.630748598
22-10-2019,39233.39844,39426.46875,38924.85156,38963.83984,54500,-0.851279547
23-10-2019,39063.83984,39196.67188,38866.07813,39058.82813,41000,0.243785729
24-10-2019,39223.01172,39327.14844,38840.76172,39020.39063,36600,-0.09840925
25-10-2019,39201.67188,39241.60938,38718.26953,39058.05859,48600,0.096534064
29-10-2019,39293.48828,39917.01172,39254.12109,39831.83984,50500,1.981105252
30-10-2019,40055.62891,40178.12109,39805.10938,40051.87109,37200,0.552400419
31-10-2019,40211.98828,40392.21875,40054.89063,40129.05078,87900,0.192699329
01-11-2019,40196.07031,40283.30078,40014.23047,40165.03125,57000,0.089661899
04-11-2019,40293.85156,40483.21094,40186.28906,40301.96094,62600,0.340917668
05-11-2019,40445.67188,40466.55078,40053.55078,40248.23047,45400,-0.133319739
06-11-2019,40311.85156,40606.91016,40037.53125,40469.78125,37700,0.550460923
07-11-2019,40625.64063,40688.26953,40421.07031,40653.73828,30200,0.454554053
08-11-2019,40630.55859,40749.32813,40263.94141,40323.60938,42600,-0.812050552
11-11-2019,40316.5,40417.44141,40150.96875,40345.07813,29500,0.053241142
13-11-2019,40346.42969,40447.17188,40061.23047,40116.05859,37700,-0.567651723
14-11-2019,40178.92969,40348.60938,40026.98828,40286.48047,27800,0.424822081
15-11-2019,40408.19922,40650.05859,40308.08984,40356.69141,25800,0.174279153
18-11-2019,40431.07813,40542.39844,40221.96875,40284.19141,28700,-0.179648027
19-11-2019,40455.35938,40544.12891,40290.21094,40469.69922,39100,0.460497795
20-11-2019,40729.80078,40816.37891,40575.96094,40651.64063,32300,0.449574396
21-11-2019,40737.30859,40744.85156,40534.12109,40575.17188,21800,-0.188107414
22-11-2019,40653.17188,40653.17188,40276.82813,40359.41016,21700,-0.531757991
25-11-2019,40439.66016,40931.71094,40393.89844,40889.23047,28600,1.312755342
26-11-2019,41022.85156,41120.28125,40710.19922,40821.30078,32800,-0.166131001
27-11-2019,40979.39063,41075.76172,40848.69922,41020.60938,32400,0.488246553
28-11-2019,41161.53906,41163.78906,40996.07813,41130.17188,30900,0.267091352
29-11-2019,41138.26172,41143.21875,40664.17969,40793.80859,46700,-0.817801788
02-12-2019,41072.94141,41093.98828,40707.62891,40802.17188,39800,0.020501349
03-12-2019,40852.60938,40885.03125,40554.03906,40675.44922,33700,-0.310578212
04-12-2019,40606.01172,40886.87109,40475.82813,40850.28906,44500,0.429841212
05-12-2019,40988.14063,41002.41016,40720.17188,40779.58984,33000,-0.173069079
06-12-2019,40952.12891,40952.12891,40337.53125,40445.14844,33100,-0.820119592
09-12-2019,40527.23828,40645.62891,40336.55859,40487.42969,32600,0.104539733
10-12-2019,40588.80859,40588.80859,40208.69922,40239.87891,31400,-0.611426272
11-12-2019,40285.19922,40466.12891,40135.37109,40412.57031,55500,0.429154887
12-12-2019,40561.33984,40712.64844,40490.69141,40581.71094,41300,0.418534688
13-12-2019,40754.82031,41055.80078,40736.69922,41009.71094,27900,1.054662285
16-12-2019,41168.85156,41185.03125,40917.92969,40938.71875,21600,-0.173110676
17-12-2019,41052.35938,41401.64844,41005.17969,41352.17188,19000,1.009931765
18-12-2019,41442.75,41614.76953,41358.46875,41558.57031,24300,0.499123574
19-12-2019,41571.82031,41719.28906,41456.39844,41673.92188,33300,0.277563836
20-12-2019,41746.19922,41809.96094,41636.10938,41681.53906,33600,0.018278069
23-12-2019,41548.26172,41701.62109,41474.60938,41642.66016,6200,-0.093276083
24-12-2019,41684.51172,41702.98047,41423.07031,41461.26172,4400,-0.435607227
26-12-2019,41543.80078,41543.80078,41132.89063,41163.76172,5600,-0.717537257
27-12-2019,41297.07813,41611.26953,41264.92188,41575.14063,6100,0.999371507
30-12-2019,41686.26953,41714.73047,41453.37891,41558,5700,-0.041228063
31-12-2019,41607.48828,41607.48828,41184.73047,41253.73828,5600,-0.73213754
02-01-2020,41340.26953,41649.28906,41328.44922,41626.64063,5300,0.903923764
03-01-2020,41634.51172,41636.17969,41348.67969,41464.60938,8900,-0.389248922
06-01-2020,41378.33984,41378.33984,40613.96094,40676.62891,8700,-1.900368726
07-01-2020,40983.03906,41230.14063,40727.37109,40869.46875,11900,0.474080201
08-01-2020,40574.82813,40866.35938,40476.55078,40817.73828,18200,-0.126574851
09-01-2020,41216.67188,41482.12109,41175.71875,41452.35156,7800,1.554748765
10-01-2020,41568.19922,41775.10938,41447.80078,41599.71875,13200,0.355509836
13-01-2020,41788.21094,41899.62891,41720.76172,41859.69141,10600,0.624938494
14-01-2020,41883.08984,41994.26172,41770.89844,41952.62891,14100,0.222021465
15-01-2020,41969.85938,41969.85938,41648.10938,41872.73047,6100,-0.190449178
16-01-2020,41924.73828,42059.44922,41812.28125,41932.55859,6600,0.142880878
17-01-2020,41929.01953,42063.92969,41850.28906,41945.37109,9500,0.030555016
20-01-2020,42263,42273.87109,41503.37109,41528.91016,7500,-0.99286507
21-01-2020,41487.57031,41532.58984,41294.30078,41323.80859,8900,-0.493876582
22-01-2020,41467.12891,41532.28906,41059.03906,41115.37891,7700,-0.504381602
23-01-2020,41191.5,41413.96094,41098.91016,41386.39844,9900,0.65916827
24-01-2020,41377.03906,41697.03125,41275.60156,41613.19141,6600,0.547989138
27-01-2020,41510.67969,41516.26953,41122.48047,41155.12109,7000,-1.100781499
28-01-2020,41299.67969,41333.25,40869.75,40966.85938,9800,-0.457444211
29-01-2020,41131.57031,41334.85938,41108.19141,41198.66016,7800,0.565825119
30-01-2020,41380.14063,41380.14063,40829.91016,40913.82031,6700,-0.691381326
31-01-2020,41146.55859,41154.48828,40671.01172,40723.48828,11500,-0.465202297
03-02-2020,39701.01953,40014.89844,39563.07031,39872.30859,10600,-2.090144344
04-02-2020,40178.73828,40818.94141,40117.46094,40789.37891,15300,2.300018094
05-02-2020,40921.71094,41177,40703.32031,41142.66016,13900,0.866110883
06-02-2020,41209.12891,41405.42969,41113.10938,41306.03125,15000,0.397084421
07-02-2020,41394.41016,41394.41016,41073.35938,41141.85156,15300,-0.397471464
10-02-2020,41166.71875,41172.05859,40798.98047,40979.62109,15200,-0.394319805
11-02-2020,41183.39063,41444.33984,41179.14063,41216.14063,7700,0.577163782
12-02-2020,41330.85156,41671.85938,41330.85156,41565.89844,9600,0.848594283
13-02-2020,41707.21094,41709.30078,41338.30859,41459.78906,9100,-0.255279878
14-02-2020,41510.19141,41702.35938,41183.12891,41257.73828,9800,-0.487341558
17-02-2020,41324.03906,41420.33984,41030.57813,41055.69141,6900,-0.489718737
18-02-2020,41042.46094,41042.46094,40610.94922,40894.37891,12300,-0.39291142
19-02-2020,41121.51172,41357.16016,41048.92969,41323,5600,1.048117383
20-02-2020,41334.96094,41399.92969,41134.30859,41170.12109,8400,-0.369960811
24-02-2020,41037.01172,41037.01172,40306.35938,40363.23047,8100,-1.959893737
25-02-2020,40497.71875,40536,40220.58984,40281.19922,7300,-0.203232618
26-02-2020,40194.89063,40255.39063,39760.39063,39888.96094,9000,-0.973750257
27-02-2020,39947.80078,39947.80078,39423.26953,39745.66016,9600,-0.359249222
28-02-2020,39087.46875,39087.46875,38219.96875,38297.28906,12700,-3.64409872
02-03-2020,38910.94922,39083.17188,37785.98828,38144.01953,13400,-0.400209873
03-03-2020,38480.89063,38754.23828,38142.30078,38623.69922,10600,1.257548874
04-03-2020,38715.71875,38791.69922,37846.10156,38409.48047,15300,-0.554630329
05-03-2020,38604.25,38887.80078,38386.67969,38470.60938,13500,0.159150567
06-03-2020,37613.96094,37747.07031,37011.08984,37576.62109,19000,-2.323821472
09-03-2020,36950.19922,36950.19922,35109.17969,35634.94922,18800,-5.167233824
11-03-2020,35468.89844,36021.51172,35261.92188,35697.39844,27900,0.175247111
12-03-2020,34472.5,34472.5,32493.09961,32778.14063,25200,-8.177788693
13-03-2020,31214.13086,34769.48047,29388.9707,34103.48047,32600,4.043364934
16-03-2020,33103.23828,33103.23828,31276.30078,31390.07031,18100,-7.956402451
17-03-2020,31611.57031,32047.98047,30394.93945,30579.08984,21500,-2.583557351
18-03-2020,30968.83984,31101.76953,28613.05078,28869.50977,31300,-5.590683329
19-03-2020,27773.35938,29370.5293,26714.46094,28288.23047,33200,-2.013471312
20-03-2020,28460.82031,30418.19922,27932.66992,29915.96094,32100,5.754090807
23-03-2020,27608.80078,27900.83008,25880.83008,25981.24023,21800,-13.15258003
24-03-2020,27056.23047,27462.86914,25638.90039,26674.0293,24700,2.666497276
25-03-2020,26499.81055,28790.18945,26359.91016,28535.7793,141500,6.979635432
26-03-2020,29073.71094,30099.91016,28566.33984,29946.76953,35000,4.944635362
