Date,Open,High,Low,Close,Volume
09-05-2011,18628.63086,18643.58008,18367.21094,18528.96094,9200
10-05-2011,18564.94922,18689.36914,18429.06055,18512.76953,13200
11-05-2011,18572.60938,18622.43945,18454.92969,18584.96094,10000
12-05-2011,18525.32031,18610.01953,18314.33984,18335.78906,10200
13-05-2011,18362.44922,18724.53906,18280.69922,18531.2793,12600
16-05-2011,18492.67969,18492.67969,18319.88086,18345.0293,9400
17-05-2011,18374.44922,18435.80078,18084.66992,18137.34961,14200
18-05-2011,18177.32031,18218.19922,18020.78906,18086.19922,12400
19-05-2011,18166.64063,18198.44922,18057.82031,18141.40039,13400
20-05-2011,18199.96094,18429.4707,18161.38086,18326.08984,17000
23-05-2011,18269.06055,18269.06055,17971.01953,17993.33008,10400
24-05-2011,18016.42969,18110.39063,17933.93945,18011.9707,12600
25-05-2011,17976.35938,17976.35938,17786.13086,17847.24023,10200
26-05-2011,17917.10938,18072.60938,17862.88086,18044.64063,12600
27-05-2011,18105.60938,18298.64063,18087.16016,18266.09961,12800
30-05-2011,18319.74023,18380.16992,18199.51953,18232.06055,11600
31-05-2011,18266.60938,18526.80078,18266.60938,18503.2793,14600
01-06-2011,18527.11914,18636.11914,18514.66016,18608.81055,12600
02-06-2011,18425.84961,18540.66992,18390.57031,18494.17969,15400
03-06-2011,18554.40039,18672.65039,18345.84961,18376.48047,14400
06-06-2011,18344.26953,18458.63086,18258.41992,18420.10938,8800
07-06-2011,18355.30078,18545.94922,18351.24023,18495.61914,10000
08-06-2011,18448.40039,18505.09961,18365.93945,18394.28906,10800
09-06-2011,18394.57031,18449.64063,18327.00977,18384.90039,10000
10-06-2011,18390.41016,18399.01953,18182.90039,18268.53906,9600
13-06-2011,18242.25,18313.21094,18120.75977,18266.0293,10400
14-06-2011,18276.7793,18380.18945,18261.10938,18308.66016,26800
15-06-2011,18298.58984,18308.68945,18111.21094,18132.24023,9600
16-06-2011,18060.10938,18155.09961,17958.93945,17985.88086,10600
17-06-2011,18060.16992,18064.75977,17844.08984,17870.5293,10800
20-06-2011,17925.16992,17925.16992,17314.38086,17506.63086,12800
21-06-2011,17574.36914,17714.88086,17504.26953,17560.30078,11400
22-06-2011,17659.36914,17678.85938,17492.18945,17550.63086,9600
23-06-2011,17526.91992,17754.55078,17482.21094,17727.49023,11400
24-06-2011,17804.93945,18268.94922,17804.93945,18240.67969,14800
27-06-2011,18132.69922,18494.10938,18132.69922,18412.41016,13400
28-06-2011,18493.58984,18527.44922,18323.43945,18492.44922,11400
29-06-2011,18552.18945,18715.39063,18552.18945,18693.85938,13800
30-06-2011,18741.09961,18873.39063,18723.14063,18845.86914,11400
01-07-2011,18974.96094,19031.38086,18713.07031,18762.80078,14000
04-07-2011,18896.24023,18942.41992,18781.88086,18814.48047,12200
05-07-2011,18837.88086,18837.88086,18694.05078,18744.56055,12200
06-07-2011,18730.28906,18823.44922,18682.59961,18726.9707,8400
07-07-2011,18776.61914,19097.7793,18767.25,19078.30078,11400
08-07-2011,19084.06055,19131.69922,18817.71094,18858.03906,12200
11-07-2011,18823.18945,18843.9707,18679.49023,18721.39063,9200
12-07-2011,18534.10938,18589.18945,18326.41992,18411.61914,10600
13-07-2011,18468.82031,18626.41016,18465.40039,18596.01953,9800
14-07-2011,18563.68945,18803.05078,18449.23047,18618.19922,11800
15-07-2011,18694.18945,18936.42969,18513.2207,18561.91992,6800
18-07-2011,18592.18945,18622.56055,18469.5293,18507.03906,9000
19-07-2011,18521.38086,18690.41992,18481.83008,18653.86914,8400
20-07-2011,18756.31055,18765.59961,18473.90039,18502.38086,9800
21-07-2011,18514.65039,18566.99023,18415.35938,18436.18945,8000
22-07-2011,18565.03906,18747.06055,18533.42969,18722.30078,14800
25-07-2011,18753.34961,18932.26953,18670.83984,18871.28906,22800
26-07-2011,18898.18945,18944.59961,18481.63086,18518.2207,15600
27-07-2011,18571.15039,18578.55078,18358.75977,18432.25,14200
28-07-2011,18300.55078,18327.84961,18188.88086,18209.51953,12200
29-07-2011,18194.15039,18334.26953,18131.85938,18197.19922,16200
01-08-2011,18352.23047,18440.07031,18219.25,18314.33008,9600
02-08-2011,18283.55078,18283.55078,18037.86914,18109.89063,11000
03-08-2011,17970.18945,18005.75977,17859.5,17940.55078,13400
04-08-2011,17983.85938,18032.55078,17664.73047,17693.17969,11000
05-08-2011,17350.36914,17358.17969,16990.91016,17305.86914,20400
08-08-2011,16907.57031,17247.86914,16759.44922,16990.17969,20000
09-08-2011,16517.86914,17135.03906,16432,16857.91016,23800
10-08-2011,17244.71094,17256.46094,17022.25,17130.50977,15600
11-08-2011,17056.60938,17207.82031,17012.94922,17059.40039,9400
